Date,Mean NDVI,Date
2021-07-15,,2021-07-15
2021-07-16,,2021-07-16
2021-07-17,,2021-07-17
2021-07-18,,2021-07-18
2021-07-19,,2021-07-19
2021-07-20,,2021-07-20
2021-07-21,0.7814742024739584,2021-07-21
2021-07-22,0.7757853882042487,2021-07-22
2021-07-23,0.7727248244152009,2021-07-23
2021-07-24,0.7666036968371053,2021-07-24
2021-07-25,0.7631108197396714,2021-07-25
2021-07-26,0.753933904582922,2021-07-26
2021-07-27,0.7468091488153465,2021-07-27
2021-07-28,0.7302729934201829,2021-07-28
2021-07-29,0.7226202015052907,2021-07-29
2021-07-30,0.71611457562218,2021-07-30
2021-07-31,0.7222196747876128,2021-07-31
2021-08-01,0.7104201183258132,2021-08-01
2021-08-02,0.7191905684882615,2021-08-02
2021-08-03,0.6930863863992879,2021-08-03
2021-08-04,0.6909195798302665,2021-08-04
2021-08-05,0.6742154865297166,2021-08-05
2021-08-06,0.6984187453733081,2021-08-06
2021-08-07,0.7226220042168993,2021-08-07
2021-08-08,0.7468252630604907,2021-08-08
2021-08-09,0.7108564192873571,2021-08-09
2021-08-10,0.6798476957696612,2021-08-10
2021-08-11,0.6515193622931208,2021-08-11
2021-08-12,0.6921449716119396,2021-08-12
2021-08-13,0.7161846234526842,2021-08-13
2021-08-14,0.7319361001385626,2021-08-14
2021-08-15,0.726222772318704,2021-08-15
2021-08-16,0.7286085547260557,2021-08-16
2021-08-17,0.7230418420954067,2021-08-17
2021-08-18,0.714626650049131,2021-08-18
2021-08-19,0.6916493923060315,2021-08-19
2021-08-20,0.6938046404068845,2021-08-20
2021-08-21,0.6657130806498519,2021-08-21
2021-08-22,0.6647037801726418,2021-08-22
2021-08-23,0.6611157205907624,2021-08-23
2021-08-24,0.6906949133101118,2021-08-24
2021-08-25,0.6987690015672001,2021-08-25
2021-08-26,0.6853379853620276,2021-08-26
2021-08-27,0.672006330581553,2021-08-27
2021-08-28,0.664288323766913,2021-08-28
2021-08-29,0.6621839649181075,2021-08-29
2021-08-30,0.6656932540351365,2021-08-30
2021-08-31,0.6692025431521652,2021-08-31
2021-09-01,0.6727118322691941,2021-09-01
2021-09-02,0.6762211213862229,2021-09-02
2021-09-03,0.6797304105032519,2021-09-03
2021-09-04,0.6832396996202807,2021-09-04
2021-09-05,0.6850515280614381,2021-09-05
2021-09-06,0.6842910069499525,2021-09-06
2021-09-07,0.6785164202126958,2021-09-07
2021-09-08,0.6648151464403113,2021-09-08
2021-09-09,0.6263444602523088,2021-09-09
2021-09-10,0.5683800643000035,2021-09-10
2021-09-11,0.495532040668623,2021-09-11
2021-09-12,0.4255180036154293,2021-09-12
2021-09-13,0.4283583501739416,2021-09-13
2021-09-14,0.5040530803441597,2021-09-14
2021-09-15,0.5957776288561275,2021-09-15
2021-09-16,0.635681092100364,2021-09-16
2021-09-17,0.6237634700768693,2021-09-17
2021-09-18,0.6059985789483507,2021-09-18
2021-09-19,0.5773829387125833,2021-09-19
2021-09-20,0.5379165493695668,2021-09-20
2021-09-21,0.5621032305376986,2021-09-21
2021-09-22,0.5785747422246831,2021-09-22
2021-09-23,0.6080367559450333,2021-09-23
2021-09-24,0.5868362011876009,2021-09-24
2021-09-25,0.5775585131896808,2021-09-25
2021-09-26,0.5614725070377599,2021-09-26
2021-09-27,0.4888319049459254,2021-09-27
2021-09-28,0.4194442441959166,2021-09-28
2021-09-29,0.3513350381867333,2021-09-29
2021-09-30,0.359373278760399,2021-09-30
2021-10-01,0.3925342333901755,2021-10-01
2021-10-02,0.4508179020760628,2021-10-02
2021-10-03,0.4805869819481898,2021-10-03
2021-10-04,0.4784921709588874,2021-10-04
2021-10-05,0.4445334691081555,2021-10-05
2021-10-06,0.4072254652097544,2021-10-06
2021-10-07,0.3699174613113532,2021-10-07
2021-10-08,0.3662834942038289,2021-10-08
2021-10-09,0.3963235638871814,2021-10-09
2021-10-10,0.4351444879091868,2021-10-10
2021-10-11,0.4490722294789684,2021-10-11
2021-10-12,0.4413243276011924,2021-10-12
2021-10-13,0.4396760943779081,2021-10-13
2021-10-14,0.4416830081154382,2021-10-14
2021-10-15,0.4441275298091159,2021-10-15
2021-10-16,0.4441275298091159,2021-10-16
2021-10-17,0.4441275298091159,2021-10-17
2021-10-18,0.4441275298091159,2021-10-18
2021-10-19,0.4441275298091159,2021-10-19
2021-10-20,0.4441275298091159,2021-10-20
2021-10-21,0.4441275298091159,2021-10-21
2021-10-22,0.4441275298091159,2021-10-22
2021-10-23,0.4441275298091159,2021-10-23
2021-10-24,0.4441275298091159,2021-10-24
2021-10-25,0.4441275298091159,2021-10-25
2021-10-26,0.4441275298091159,2021-10-26
2021-10-27,0.4441275298091159,2021-10-27
2021-10-28,0.4441275298091159,2021-10-28
2021-10-29,0.4441275298091159,2021-10-29
2021-10-30,0.4441275298091159,2021-10-30
2021-10-31,0.4441275298091159,2021-10-31
2021-11-01,0.4441275298091159,2021-11-01
2022-04-01,0.43926808457106525,2022-04-01
2022-04-02,0.4344086393330146,2022-04-02
2022-04-03,0.42954919409496395,2022-04-03
2022-04-04,0.4246897488569133,2022-04-04
2022-04-05,0.41983030361886264,2022-04-05
2022-04-06,0.414970858380812,2022-04-06
2022-04-07,0.41011141314276134,2022-04-07
2022-04-08,0.40525196790471074,2022-04-08
2022-04-09,0.4003925226666601,2022-04-09
2022-04-10,0.39553307742860944,2022-04-10
2022-04-11,0.3906736321905588,2022-04-11
2022-04-12,0.38581418695250813,2022-04-12
2022-04-13,0.3809547417144575,2022-04-13
2022-04-14,0.3760952964764068,2022-04-14
2022-04-15,0.3712358512383562,2022-04-15
2022-04-16,0.3663764060003055,2022-04-16
2022-04-17,0.36151696076225487,2022-04-17
2022-04-18,0.3566575155242042,2022-04-18
2022-04-19,0.35179807028615356,2022-04-19
2022-04-20,0.3469386250481029,2022-04-20
2022-04-21,0.34207917981005226,2022-04-21
2022-04-22,0.3372197345720016,2022-04-22
2022-04-23,0.33236028933395095,2022-04-23
2022-04-24,0.3275008440959003,2022-04-24
2022-04-25,0.3226413988578497,2022-04-25
2022-04-26,0.31778195361979905,2022-04-26
2022-04-27,0.3129225083817484,2022-04-27
2022-04-28,0.30806306314369775,2022-04-28
2022-04-29,0.3032036179056471,2022-04-29
2022-04-30,0.29834417266759644,2022-04-30
2022-05-01,0.2934847274295458,2022-05-01
2022-05-02,0.28862528219149514,2022-05-02
2022-05-03,0.2837658369534445,2022-05-03
2022-05-04,0.27890639171539383,2022-05-04
2022-05-05,0.2740469464773432,2022-05-05
2022-05-06,0.2691875012392925,2022-05-06
2022-05-07,0.2586101525527773,2022-05-07
2022-05-08,0.2480328038662621,2022-05-08
2022-05-09,0.2367585467808137,2022-05-09
2022-05-10,0.2353647299829473,2022-05-10
2022-05-11,0.2438513534726628,2022-05-11
2022-05-12,0.2547761042509385,2022-05-12
2022-05-13,0.2681389823177744,2022-05-13
2022-05-14,0.2811756768740306,2022-05-14
2022-05-15,0.2914480606311469,2022-05-15
2022-05-16,0.2989561335891233,2022-05-16
2022-05-17,0.3064642065470997,2022-05-17
2022-05-18,0.3116466007996466,2022-05-18
2022-05-19,0.3149237778877535,2022-05-19
2022-05-20,0.3162957378114204,2022-05-20
2022-05-21,0.3180881592760769,2022-05-21
2022-05-22,0.3211524675358146,2022-05-22
2022-05-23,0.3254886625906335,2022-05-23
2022-05-24,0.3310967444405338,2022-05-24
2022-05-25,0.3367048262904339,2022-05-25
2022-05-26,0.3423129081403342,2022-05-26
2022-05-27,0.3562327456918061,2022-05-27
2022-05-28,0.3726475461216478,2022-05-28
2022-05-29,0.3915573094298594,2022-05-29
2022-05-30,0.4046502799148688,2022-05-30
2022-05-31,0.4177432503998783,2022-05-31
2022-06-01,0.4308362208848879,2022-06-01
2022-06-02,0.4439291913698974,2022-06-02
2022-06-03,0.4573448019590536,2022-06-03
2022-06-04,0.4710830526523564,2022-06-04
2022-06-05,0.4851439434498059,2022-06-05
2022-06-06,0.4992048342472552,2022-06-06
2022-06-07,0.5132657250447047,2022-06-07
2022-06-08,0.5273266158421541,2022-06-08
2022-06-09,0.5413875066396036,2022-06-09
2022-06-10,0.555448397437053,2022-06-10
2022-06-11,0.5695092882345024,2022-06-11
2022-06-12,0.5835701790319519,2022-06-12
2022-06-13,0.5976310698294013,2022-06-13
2022-06-14,0.6136990742628888,2022-06-14
2022-06-15,0.6317741923324146,2022-06-15
2022-06-16,0.6518564240379785,2022-06-16
2022-06-17,0.6719386557435425,2022-06-17
2022-06-18,0.6953514989862587,2022-06-18
2022-06-19,0.7202954395033853,2022-06-19
2022-06-20,0.7365872944134207,2022-06-20
2022-06-21,0.7408964521792133,2022-06-21
2022-06-22,0.7404088004725972,2022-06-22
2022-06-23,0.7453075221750741,2022-06-23
2022-06-24,0.7555926172866433,2022-06-24
2022-06-25,0.7658777123982129,2022-06-25
2022-06-26,0.7723026523062958,2022-06-26
2022-06-27,0.7768637302697748,2022-06-27
2022-06-28,0.7795609462886494,2022-06-28
2022-06-29,0.7836481529618817,2022-06-29
2022-06-30,0.787129057030589,2022-06-30
2022-07-01,0.7900036584947719,2022-07-01
2022-07-02,0.7928782599589547,2022-07-02
2022-07-03,0.7957528614231375,2022-07-03
2022-07-04,0.798419223705793,2022-07-04
2022-07-05,0.8008773468069216,2022-07-05
2022-07-06,0.8031272307265228,2022-07-06
2022-07-07,0.805377114646124,2022-07-07
2022-07-08,0.8076269985657255,2022-07-08
2022-07-09,0.8074060086133583,2022-07-09
2022-07-10,0.8058638295680872,2022-07-10
2022-07-11,0.8030004614299123,2022-07-11
2022-07-12,0.8022341655595654,2022-07-12
2022-07-13,0.802811417684539,2022-07-13
2022-07-14,0.8048513103728232,2022-07-14
2022-07-15,0.8074064561356545,2022-07-15
2022-07-16,0.8100806944664765,2022-07-16
2022-07-17,0.812754932797298,2022-07-17
2022-07-18,0.8108120319605278,2022-07-18
2022-07-19,0.8042519919561654,2022-07-19
2022-07-20,0.793074812784211,2022-07-20
2022-07-21,0.7841068171002538,2022-07-21
2022-07-22,0.7773480049042935,2022-07-22
2022-07-23,0.7727983761963304,2022-07-23
2022-07-24,0.7682487474883671,2022-07-24
2022-07-25,0.763699118780404,2022-07-25
2022-07-26,0.7765999266338833,2022-07-26
2022-07-27,0.7776754845082928,2022-07-27
2022-07-28,0.7833100656164076,2022-07-28
2022-07-29,0.7746206628893031,2022-07-29
2022-07-30,0.7774511209263079,2022-07-30
2022-07-31,0.7754171665146469,2022-07-31
2022-08-01,0.760867975690038,2022-08-01
2022-08-02,0.746718456700772,2022-08-02
2022-08-03,0.7329686095468486,2022-08-03
2022-08-04,0.7272581279890936,2022-08-04
2022-08-05,0.7178074381988812,2022-08-05
2022-08-06,0.7080359265594458,2022-08-06
2022-08-07,0.7174552319349708,2022-08-07
2022-08-08,0.7334042380774553,2022-08-08
2022-08-09,0.7450582178312711,2022-08-09
2022-08-10,0.7398314696992635,2022-08-10
2022-08-11,0.7331115437483681,2022-08-11
2022-08-12,0.731880747274348,2022-08-12
2022-08-13,0.7306568436211136,2022-08-13
2022-08-14,0.7290099064912491,2022-08-14
2022-08-15,0.7273629693613843,2022-08-15
2022-08-16,0.7257160322315196,2022-08-16
2022-08-17,0.6977147377216406,2022-08-17
2022-08-18,0.6762012955747526,2022-08-18
2022-08-19,0.6611757057908559,2022-08-19
2022-08-20,0.6789923257499648,2022-08-20
2022-08-21,0.6867932991821036,2022-08-21
2022-08-22,0.6845786260872725,2022-08-22
2022-08-23,0.678141947325111,2022-08-23
2022-08-24,0.6774989094225887,2022-08-24
2022-08-25,0.682649512379706,2022-08-25
2022-08-26,0.6878001153368233,2022-08-26
2022-08-27,0.6929507182939404,2022-08-27
2022-08-28,0.6971439936035981,2022-08-28
2022-08-29,0.7003799412657968,2022-08-29
2022-08-30,0.6917511605974381,2022-08-30
2022-08-31,0.6833039104635946,2022-08-31
2022-09-01,0.6750381908642661,2022-09-01
2022-09-02,0.6778614024825508,2022-09-02
2022-09-03,0.6770311338737017,2022-09-03
2022-09-04,0.6725473850377185,2022-09-04
2022-09-05,0.6644101559746017,2022-09-05
2022-09-06,0.6606654385736862,2022-09-06
2022-09-07,0.6561472161772287,2022-09-07
2022-09-08,0.6508554887852289,2022-09-08
2022-09-09,0.6403977447354854,2022-09-09
2022-09-10,0.6299400006857419,2022-09-10
2022-09-11,0.6285371043489804,2022-09-11
2022-09-12,0.6240659521181436,2022-09-12
2022-09-13,0.6198083799031919,2022-09-13
2022-09-14,0.6067095399911432,2022-09-14
2022-09-15,0.5968925359890546,2022-09-15
2022-09-16,0.5870755319869659,2022-09-16
2022-09-17,0.5772585279848773,2022-09-17
2022-09-18,0.5674415239827887,2022-09-18
2022-09-19,0.5543180014948622,2022-09-19
2022-09-20,0.5467074975682326,2022-09-20
2022-09-21,0.5446100122029002,2022-09-21
2022-09-22,0.5513320638847028,2022-09-22
2022-09-23,0.5580541155665054,2022-09-23
2022-09-24,0.5545301156337374,2022-09-24
2022-09-25,0.540760064086399,2022-09-25
2022-09-26,0.5200220600820366,2022-09-26
2022-09-27,0.5076115294973641,2022-09-27
2022-09-28,0.4968970940264293,2022-09-28
2022-09-29,0.4846006545116856,2022-09-29
2022-09-30,0.4656728366909898,2022-09-30
2022-10-01,0.4559722229107181,2022-10-01
2022-10-02,0.4303871322606017,2022-10-02
2022-10-03,0.4107797919953087,2022-10-03
2022-10-04,0.3879229980744148,2022-10-04
2022-10-05,0.3869284314081888,2022-10-05
2022-10-06,0.3939446515439933,2022-10-06
2022-10-07,0.4089716584818281,2022-10-07
2022-10-08,0.4320094522216934,2022-10-08
2022-10-09,0.4340012821628536,2022-10-09
2022-10-10,0.4118283740289454,2022-10-10
2022-10-11,0.3858093416630314,2022-10-11
2022-10-12,0.3276542684863235,2022-10-12
2022-10-13,0.2859846688047289,2022-10-13
2022-10-14,0.240481928775185,2022-10-14
2022-10-15,0.240481928775185,2022-10-15
2022-10-16,0.240481928775185,2022-10-16
2022-10-17,0.240481928775185,2022-10-17
2022-10-18,0.240481928775185,2022-10-18
2022-10-19,0.240481928775185,2022-10-19
2022-10-20,0.240481928775185,2022-10-20
2022-10-21,0.240481928775185,2022-10-21
2022-10-22,0.240481928775185,2022-10-22
2022-10-23,0.240481928775185,2022-10-23
2022-10-24,0.240481928775185,2022-10-24
2022-10-25,0.240481928775185,2022-10-25
2022-10-26,0.240481928775185,2022-10-26
2022-10-27,0.240481928775185,2022-10-27
2022-10-28,0.240481928775185,2022-10-28
2022-10-29,0.240481928775185,2022-10-29
2022-10-30,0.240481928775185,2022-10-30
2022-10-31,0.240481928775185,2022-10-31
2022-11-01,0.240481928775185,2022-11-01
2023-04-01,0.24014531660919797,2023-04-01
2023-04-02,0.23980870444321095,2023-04-02
2023-04-03,0.2394720922772239,2023-04-03
2023-04-04,0.2391354801112369,2023-04-04
2023-04-05,0.23879886794524985,2023-04-05
2023-04-06,0.2384622557792628,2023-04-06
2023-04-07,0.2381256436132758,2023-04-07
2023-04-08,0.23778903144728875,2023-04-08
2023-04-09,0.2374524192813017,2023-04-09
2023-04-10,0.2371158071153147,2023-04-10
2023-04-11,0.23677919494932764,2023-04-11
2023-04-12,0.23644258278334063,2023-04-12
2023-04-13,0.23610597061735358,2023-04-13
2023-04-14,0.23576935845136654,2023-04-14
2023-04-15,0.23543274628537952,2023-04-15
2023-04-16,0.23509613411939248,2023-04-16
2023-04-17,0.23475952195340546,2023-04-17
2023-04-18,0.23442290978741842,2023-04-18
2023-04-19,0.23408629762143138,2023-04-19
2023-04-20,0.23374968545544436,2023-04-20
2023-04-21,0.23341307328945732,2023-04-21
2023-04-22,0.2330764611234703,2023-04-22
2023-04-23,0.23273984895748326,2023-04-23
2023-04-24,0.23240323679149621,2023-04-24
2023-04-25,0.2320666246255092,2023-04-25
2023-04-26,0.23173001245952216,2023-04-26
2023-04-27,0.2313934002935351,2023-04-27
2023-04-28,0.2310567881275481,2023-04-28
2023-04-29,0.23072017596156105,2023-04-29
2023-04-30,0.23038356379557404,2023-04-30
2023-05-01,0.230046951629587,2023-05-01
2023-05-02,0.222655507715422,2023-05-02
2023-05-03,0.2295654821853078,2023-05-03
2023-05-04,0.2326669666098795,2023-05-04
2023-05-05,0.2393514049033021,2023-05-05
2023-05-06,0.2353173786815249,2023-05-06
2023-05-07,0.2383649883065866,2023-05-07
2023-05-08,0.2437256169198128,2023-05-08
2023-05-09,0.2513992645212035,2023-05-09
2023-05-10,0.2557916643028309,2023-05-10
2023-05-11,0.2616714331233696,2023-05-11
2023-05-12,0.2690385709828195,2023-05-12
2023-05-13,0.2712759888246108,2023-05-13
2023-05-14,0.2683836866487437,2023-05-14
2023-05-15,0.260361664455218,2023-05-15
2023-05-16,0.2523396422616923,2023-05-16
2023-05-17,0.2443176200681666,2023-05-17
2023-05-18,0.2362955978746409,2023-05-18
2023-05-19,0.2472802104975052,2023-05-19
2023-05-20,0.2618750901929551,2023-05-20
2023-05-21,0.2800802369609904,2023-05-21
2023-05-22,0.2833830633878842,2023-05-22
2023-05-23,0.2871799372174413,2023-05-23
2023-05-24,0.2942408722893459,2023-05-24
2023-05-25,0.304071821200935,2023-05-25
2023-05-26,0.3166727839522085,2023-05-26
2023-05-27,0.3320108217546693,2023-05-27
2023-05-28,0.3458782542444392,2023-05-28
2023-05-29,0.3582750814215181,2023-05-29
2023-05-30,0.3664642282347186,2023-05-30
2023-05-31,0.3746533750479193,2023-05-31
2023-06-01,0.3828425218611199,2023-06-01
2023-06-02,0.392516330777086,2023-06-02
2023-06-03,0.4057318638491214,2023-06-03
2023-06-04,0.4224891210772261,2023-06-04
2023-06-05,0.4413034403586347,2023-06-05
2023-06-06,0.4601177596400433,2023-06-06
2023-06-07,0.4779561154128331,2023-06-07
2023-06-08,0.494818507677004,2023-06-08
2023-06-09,0.5107049364325561,2023-06-09
2023-06-10,0.5265913651881081,2023-06-10
2023-06-11,0.5424777939436601,2023-06-11
2023-06-12,0.5581190871977229,2023-06-12
2023-06-13,0.545336521619871,2023-06-13
2023-06-14,0.5314469958723298,2023-06-14
2023-06-15,0.5241304625145227,2023-06-15
2023-06-16,0.5515656448768749,2023-06-16
2023-06-17,0.5864356442971613,2023-06-17
2023-06-18,0.6160615730034631,2023-06-18
2023-06-19,0.6404434309957798,2023-06-19
2023-06-20,0.6482535641192045,2023-06-20
2023-06-21,0.6447360430877221,2023-06-21
2023-06-22,0.6316060143141039,2023-06-22
2023-06-23,0.6270481030011809,2023-06-23
2023-06-24,0.631062309148953,2023-06-24
2023-06-25,0.6419334863446489,2023-06-25
2023-06-26,0.6079243392643119,2023-06-26
2023-06-27,0.5816433399685973,2023-06-27
2023-06-28,0.563090488457505,2023-06-28
2023-06-29,0.5971461090070678,2023-06-29
2023-06-30,0.6312017295566307,2023-06-30
2023-07-01,0.6652573501061936,2023-07-01
2023-07-02,0.6993129706557565,2023-07-02
2023-07-03,0.7070953604376703,2023-07-03
2023-07-04,0.7056185081727211,2023-07-04
2023-07-05,0.6948824138609084,2023-07-05
2023-07-06,0.7000244565197434,2023-07-06
2023-07-07,0.7040306474284405,2023-07-07
2023-07-08,0.7069009865869994,2023-07-08
2023-07-09,0.7250546137850454,2023-07-09
2023-07-10,0.7343033275830161,2023-07-10
2023-07-11,0.7432194933001092,2023-07-11
2023-07-12,0.736519822896838,2023-07-12
2023-07-13,0.7383925178127644,2023-07-13
2023-07-14,0.7402652127286907,2023-07-14
2023-07-15,0.7421379076446172,2023-07-15
2023-07-16,0.7432447559337326,2023-07-16
2023-07-17,0.7435857575960368,2023-07-17
2023-07-18,0.7431609126315303,2023-07-18
2023-07-19,0.7427360676670235,2023-07-19
2023-07-20,0.7441122159403862,2023-07-20
2023-07-21,0.7511473437210832,2023-07-21
2023-07-22,0.7557176823839251,2023-07-22
2023-07-23,0.7735589849189117,2023-07-23
2023-07-24,0.7842346983176466,2023-07-24
2023-07-25,0.7958685912053193,2023-07-25
2023-07-26,0.7909239173540609,2023-07-26
2023-07-27,0.7859792435028025,2023-07-27
2023-07-28,0.781034569651544,2023-07-28
2023-07-29,0.7760898958002856,2023-07-29
2023-07-30,0.7710615942869037,2023-07-30
2023-07-31,0.7659496651113983,2023-07-31
2023-08-01,0.7607541082737694,2023-08-01
2023-08-02,0.7555585514361406,2023-08-02
2023-08-03,0.7503629945985116,2023-08-03
2023-08-04,0.745167437760883,2023-08-04
2023-08-05,0.7399718809232542,2023-08-05
2023-08-06,0.7347763240856254,2023-08-06
2023-08-07,0.7299395965864083,2023-08-07
2023-08-08,0.7342410432453663,2023-08-08
2023-08-09,0.7476806640625,2023-08-09
2023-08-10,0.768707438908387,2023-08-10
2023-08-11,0.7885420229632641,2023-08-11
2023-08-12,0.7906365477964828,2023-08-12
2023-08-13,0.7883159553540741,2023-08-13
2023-08-14,0.781580245636038,2023-08-14
2023-08-15,0.7830515096097495,2023-08-15
2023-08-16,0.7861304371893506,2023-08-16
2023-08-17,0.780560609115024,2023-08-17
2023-08-18,0.7733075693599889,2023-08-18
2023-08-19,0.7588378768550831,2023-08-19
2023-08-20,0.747407950860124,2023-08-20
2023-08-21,0.7497544250086658,2023-08-21
2023-08-22,0.7511225838615473,2023-08-22
2023-08-23,0.7515124274187684,2023-08-23
2023-08-24,0.7317489176501141,2023-08-24
2023-08-25,0.7065867699947455,2023-08-25
2023-08-26,0.6760259844526623,2023-08-26
2023-08-27,0.6454651989105793,2023-08-27
2023-08-28,0.678060712753419,2023-08-28
2023-08-29,0.7127475678049405,2023-08-29
2023-08-30,0.745819574194044,2023-08-30
2023-08-31,0.7219136438084671,2023-08-31
2023-09-01,0.7049251810709635,2023-09-01
2023-09-02,0.6985603758526332,2023-09-02
2023-09-03,0.6919678818755949,2023-09-03
2023-09-04,0.682317252893335,2023-09-04
2023-09-05,0.6696084889058534,2023-09-05
2023-09-06,0.656899724918372,2023-09-06
2023-09-07,0.6595794029969283,2023-09-07
2023-09-08,0.6631067311779221,2023-09-08
2023-09-09,0.6674817094613529,2023-09-09
2023-09-10,0.6573158957811832,2023-09-10
2023-09-11,0.6471500821010135,2023-09-11
2023-09-12,0.6454951099093938,2023-09-12
2023-09-13,0.5821135596777179,2023-09-13
2023-09-14,0.5361755562041479,2023-09-14
2023-09-15,0.4991702580001342,2023-09-15
2023-09-16,0.5413350845942827,2023-09-16
2023-09-17,0.5834999111884313,2023-09-17
2023-09-18,0.6112627155440234,2023-09-18
2023-09-19,0.6246234976610595,2023-09-19
2023-09-20,0.6235822575395392,2023-09-20
2023-09-21,0.6225410174180189,2023-09-21
2023-09-22,0.6214997772964987,2023-09-22
2023-09-23,0.6204585371749785,2023-09-23
2023-09-24,0.6137510372116591,2023-09-24
2023-09-25,0.6065159693856194,2023-09-25
2023-09-26,0.5930182838332364,2023-09-26
2023-09-27,0.5726928538813539,2023-09-27
2023-09-28,0.5559368875829499,2023-09-28
2023-09-29,0.548485434801647,2023-09-29
2023-09-30,0.5507815800487773,2023-09-30
2023-10-01,0.5472894232922845,2023-10-01
2023-10-02,0.5459808969298988,2023-10-02
2023-10-03,0.5526443029652435,2023-10-03
2023-10-04,0.5514712893630797,2023-10-04
2023-10-05,0.5441368922050521,2023-10-05
2023-10-06,0.5306411114911608,2023-10-06
2023-10-07,0.5267922992566448,2023-10-07
2023-10-08,0.5281523137774811,2023-10-08
2023-10-09,0.5215349794442682,2023-10-09
2023-10-10,0.5069402962570061,2023-10-10
2023-10-11,0.4884197237258971,2023-10-11
2023-10-12,0.4791594374603426,2023-10-12
2023-10-13,0.4791594374603426,2023-10-13
2023-10-14,0.4791594374603426,2023-10-14
2023-10-15,0.4791594374603426,2023-10-15
2023-10-16,0.4791594374603426,2023-10-16
2023-10-17,0.4791594374603426,2023-10-17
2023-10-18,0.4791594374603426,2023-10-18
2023-10-19,0.4791594374603426,2023-10-19
2023-10-20,0.4791594374603426,2023-10-20
2023-10-21,0.4791594374603426,2023-10-21
2023-10-22,0.4791594374603426,2023-10-22
2023-10-23,0.4791594374603426,2023-10-23
2023-10-24,0.4791594374603426,2023-10-24
2023-10-25,0.4791594374603426,2023-10-25
2023-10-26,0.4791594374603426,2023-10-26
2023-10-27,0.4791594374603426,2023-10-27
2023-10-28,0.4791594374603426,2023-10-28
2023-10-29,0.4791594374603426,2023-10-29
2023-10-30,0.4791594374603426,2023-10-30
2023-10-31,0.4791594374603426,2023-10-31
2023-11-01,0.4791594374603426,2023-11-01
