Time,Conductivity,Dissolved Oxygen,Temperature,Turbidity
2021-08-30 17:26:00+00:00,672,7.125,26.375,0.15918
2021-08-30 17:55:00+00:00,672,7.125,26.375,0.15918
2021-08-30 18:25:00+00:00,672,7.125,26.375,0.15918
2021-08-30 18:54:00+00:00,672,7.21875,26.5,0.15918
2021-08-30 19:23:00+00:00,672,7.3125,26.75,0.15918
2021-08-30 19:52:00+00:00,668,7.4375,26.75,0.15918
2021-08-30 20:22:00+00:00,668,7.46875,26.75,0.15918
2021-08-30 20:51:00+00:00,668,7.46875,26.75,0.15918
2021-08-30 21:20:00+00:00,668,7.5,26.625,0.15918
2021-08-30 21:49:00+00:00,664,7.75,26.5,0.15918
2021-08-30 22:19:00+00:00,664,7.65625,26.5,0.15918
2021-08-30 23:11:00+00:00,664,7.59375,26.25,0.109863
2021-08-30 23:39:00+00:00,664,7.59375,26.25,0.109863
2021-08-31 00:48:00+00:00,664,7.40625,26.125,0.109863
2021-08-31 01:17:00+00:00,664,7.375,26.125,0.109863
2021-08-31 01:46:00+00:00,664,7.25,26,0.109863
2021-08-31 02:16:00+00:00,664,7.21875,26,0.109863
2021-08-31 02:45:00+00:00,664,7.09375,26,0.109863
2021-08-31 03:14:00+00:00,664,7.0625,26,0.109863
2021-08-31 03:43:00+00:00,664,6.96875,25.875,0.109863
2021-08-31 04:13:00+00:00,664,6.9375,25.875,0.109863
2021-08-31 04:42:00+00:00,664,6.90625,25.875,0.109863
2021-08-31 05:11:00+00:00,664,6.875,25.75,0.109863
2021-08-31 05:40:00+00:00,664,6.8125,25.75,0.109863
2021-08-31 06:10:00+00:00,664,6.75,25.625,0.109863
2021-08-31 06:39:00+00:00,664,6.75,25.5,0.109863
2021-08-31 07:08:00+00:00,664,6.6875,25.5,0.109863
2021-08-31 07:37:00+00:00,664,6.65625,25.375,0.109863
2021-08-31 08:07:00+00:00,664,6.625,25.25,0.109863
2021-08-31 08:36:00+00:00,664,6.59375,25.25,0.109863
2021-08-31 09:05:00+00:00,664,6.5625,25.125,0.109863
2021-08-31 09:07:00+00:00,664,6.53125,25.125,0.109863
2021-08-31 09:34:00+00:00,664,6.53125,25.125,0.109863
2021-08-31 09:36:00+00:00,664,6.53125,25.125,0.109863
2021-08-31 10:04:00+00:00,664,6.5,25,0.109863
2021-08-31 10:33:00+00:00,664,6.5,24.875,0.109863
2021-08-31 11:02:00+00:00,664,6.5,24.875,0.109863
2021-08-31 11:31:00+00:00,664,6.4375,24.75,0.109863
2021-08-31 12:01:00+00:00,664,6.4375,24.625,0.109863
2021-08-31 12:30:00+00:00,664,6.46875,24.625,0.109863
2021-08-31 12:59:00+00:00,664,6.5,24.625,0.109863
2021-08-31 13:28:00+00:00,668,6.5,24.625,0.109863
2021-08-31 13:58:00+00:00,668,6.59375,24.625,0.109863
2021-08-31 14:27:00+00:00,668,6.65625,24.75,0.109863
2021-08-31 14:56:00+00:00,668,6.75,24.75,0.109863
2021-08-31 15:25:00+00:00,668,6.84375,24.875,0.109863
2021-08-31 15:55:00+00:00,668,6.9375,25,0.109863
2021-08-31 16:24:00+00:00,668,6.96875,25.125,0.109863
2021-08-31 16:53:00+00:00,668,7.0625,25.125,0.15918
2021-08-31 17:22:00+00:00,672,7.15625,25.125,0.15918
2021-08-31 17:52:00+00:00,668,7.25,25.25,0.15918
2021-08-31 18:21:00+00:00,668,7.28125,25.25,0.15918
2021-08-31 18:50:00+00:00,672,7.46875,25.5,0.15918
2021-08-31 19:20:00+00:00,672,7.53125,25.5,0.15918
2021-08-31 19:49:00+00:00,672,7.65625,25.5,0.15918
2021-08-31 20:18:00+00:00,672,7.8125,25.5,0.139648
2021-08-31 20:47:00+00:00,672,7.9375,25.75,0.139648
2021-08-31 21:17:00+00:00,676,8.375,24.75,0.15918
2021-08-31 21:46:00+00:00,672,8.5,25.625,0.5
2021-08-31 22:15:00+00:00,672,8.6875,25.125,0.419922
2021-09-01 01:57:00+00:00,664,7.6875,25.25,0.119629
2021-09-01 02:26:00+00:00,664,7.625,25.25,0.119629
2021-09-01 02:56:00+00:00,664,7.53125,25.125,0.119629
2021-09-01 03:25:00+00:00,664,7.5,25.125,0.119629
2021-09-01 03:54:00+00:00,660,7.40625,25.125,0.119629
2021-09-01 04:23:00+00:00,660,7.34375,25,0.119629
2021-09-01 04:53:00+00:00,660,7.28125,25,0.119629
2021-09-01 05:22:00+00:00,656,7.25,25,0.119629
2021-09-01 05:51:00+00:00,656,7.1875,24.875,0.119629
2021-09-01 06:20:00+00:00,652,7.125,24.75,0.119629
2021-09-01 06:50:00+00:00,652,7.0625,24.75,0.119629
2021-09-01 07:19:00+00:00,648,6.96875,24.75,0.119629
2021-09-01 07:48:00+00:00,652,6.90625,24.625,0.119629
2021-09-01 08:17:00+00:00,648,6.8125,24.5,0.119629
2021-09-01 08:47:00+00:00,660,6.8125,24.5,0.119629
2021-09-01 09:16:00+00:00,648,6.75,24.5,0.119629
2021-09-01 09:45:00+00:00,648,6.6875,24.375,0.119629
2021-09-01 10:14:00+00:00,644,6.6875,24.25,0.119629
2021-09-01 10:43:00+00:00,648,6.625,24.25,0.119629
2021-09-01 11:13:00+00:00,644,6.59375,24.125,0.119629
2021-09-01 11:42:00+00:00,640,6.625,24.125,0.119629
2021-09-01 12:11:00+00:00,640,6.59375,24,0.119629
2021-09-01 12:40:00+00:00,644,6.625,24,0.119629
2021-09-01 13:10:00+00:00,644,6.65625,23.875,0.119629
2021-09-01 13:39:00+00:00,644,6.75,23.875,0.119629
2021-09-01 14:08:00+00:00,644,6.84375,23.875,0.119629
2021-09-01 14:37:00+00:00,648,6.96875,24,0.119629
2021-09-01 15:07:00+00:00,644,7.09375,24.125,0.119629
2021-09-01 15:36:00+00:00,648,7.1875,24.125,0.119629
2021-09-01 16:05:00+00:00,644,7.25,24.25,0.139648
2021-09-01 16:34:00+00:00,644,7.25,24.25,0.139648
2021-09-01 16:36:00+00:00,644,7.25,24.25,0.139648
2021-09-01 17:04:00+00:00,644,7.25,24.25,0.139648
2021-09-01 17:33:00+00:00,644,7.25,24.25,0.139648
2021-09-01 18:02:00+00:00,644,7.25,24.25,0.139648
2021-09-01 18:31:00+00:00,644,7.25,24.25,0.139648
2021-09-01 19:01:00+00:00,,,,0
2021-09-01 19:30:00+00:00,,,,0
2021-09-01 19:59:00+00:00,,,,0
2021-09-01 20:28:00+00:00,,,,0
2021-09-01 20:58:00+00:00,,,,0
2021-09-01 21:27:00+00:00,644,8.4375,25.25,0
2021-09-01 21:56:00+00:00,652,8.5625,25.25,0
2021-09-01 22:25:00+00:00,648,8.5,25.125,0.119629
2021-09-02 01:51:00+00:00,652,8,24.125,0.109863
2021-09-02 02:20:00+00:00,656,7.84375,24,0.119629
2021-09-02 02:49:00+00:00,660,7.78125,24,0.129883
2021-09-02 03:18:00+00:00,660,7.71875,23.875,0.129883
2021-09-02 03:48:00+00:00,656,7.65625,23.875,0.129883
2021-09-02 04:17:00+00:00,660,7.65625,23.875,0.129883
2021-09-02 04:46:00+00:00,688,7.625,23.75,0.139648
2021-09-02 05:15:00+00:00,684,7.5625,23.75,0.139648
2021-09-02 05:45:00+00:00,648,7.46875,23.75,0.139648
2021-09-02 06:14:00+00:00,676,7.46875,23.625,0.149414
2021-09-02 06:43:00+00:00,644,7.40625,23.5,0.149414
2021-09-02 07:12:00+00:00,652,7.375,23.5,0.149414
2021-09-02 07:42:00+00:00,648,7.28125,23.375,0.15918
2021-09-02 08:11:00+00:00,648,7.25,23.25,0.149414
2021-09-02 08:40:00+00:00,660,7.1875,23.125,0.149414
2021-09-02 09:09:00+00:00,664,7.125,23,0.169922
2021-09-02 09:39:00+00:00,660,7.0625,22.875,0.169922
2021-09-02 10:08:00+00:00,664,7.03125,22.75,0.169922
2021-09-02 10:37:00+00:00,664,7,22.625,0.179688
2021-09-02 11:06:00+00:00,660,7,22.625,0.169922
2021-09-02 11:08:00+00:00,656,7,22.625,0.179688
2021-09-02 11:36:00+00:00,660,6.9375,22.5,0.179688
2021-09-02 12:05:00+00:00,664,6.96875,22.375,0.15918
2021-09-02 12:34:00+00:00,656,7,22.375,0.149414
2021-09-02 13:03:00+00:00,668,7,22.25,0.149414
2021-09-02 13:33:00+00:00,680,7.0625,22.375,0.129883
2021-09-02 14:02:00+00:00,664,7.125,22.375,0.139648
2021-09-02 14:31:00+00:00,672,7.25,22.375,0.139648
2021-09-02 15:00:00+00:00,668,7.34375,22.5,0.139648
2021-09-02 15:30:00+00:00,668,7.5,22.625,0.139648
2021-09-02 15:59:00+00:00,676,7.625,22.75,0.149414
2021-09-02 16:28:00+00:00,668,7.71875,22.875,0.149414
2021-09-02 16:57:00+00:00,716,7.78125,23,0.15918
2021-09-02 17:27:00+00:00,720,7.96875,23.125,0.15918
2021-09-02 17:56:00+00:00,728,8,23.125,0.149414
2021-09-02 18:25:00+00:00,728,8.1875,23.25,0.15918
2021-09-02 18:54:00+00:00,724,8.375,23.375,0.149414
2021-09-02 19:24:00+00:00,664,8.5625,23.5,0.239258
2021-09-02 19:53:00+00:00,692,8.6875,23.5,0.149414
2021-09-02 20:22:00+00:00,700,8.6875,23.5,0.139648
2021-09-02 20:51:00+00:00,664,8.8125,23.5,0.139648
2021-09-02 21:21:00+00:00,664,8.875,23.5,0.229492
2021-09-02 21:50:00+00:00,672,9,23.5,0.139648
2021-09-02 22:19:00+00:00,656,9,23.375,0.169922
2021-09-02 22:48:00+00:00,660,8.9375,23.375,0.189453
2021-09-02 23:08:00+00:00,676,8.9375,23.25,0.15918
2021-09-02 23:37:00+00:00,716,8.9375,23.25,0.15918
2021-09-02 23:40:00+00:00,716,8.9375,23.25,0.149414
2021-09-03 00:07:00+00:00,672,8.75,23.25,12.988281
2021-09-03 00:10:00+00:00,672,8.75,23.25,12.988281
2021-09-03 00:36:00+00:00,692,8.6875,23.125,14.941406
2021-09-03 00:39:00+00:00,688,8.6875,23.125,14.941406
2021-09-03 01:05:00+00:00,708,8.5625,23.125,14.941406
2021-09-03 01:34:00+00:00,704,8.4375,23,15.917969
2021-09-03 01:39:00+00:00,704,8.375,23,14.941406
2021-09-03 02:04:00+00:00,672,8.3125,23,14.941406
2021-09-03 02:33:00+00:00,668,8.1875,22.875,14.941406
2021-09-03 03:02:00+00:00,672,8.0625,22.875,14.941406
2021-09-03 03:31:00+00:00,688,8.0625,22.75,14.941406
2021-09-03 04:01:00+00:00,708,7.96875,22.75,15.917969
2021-09-03 04:30:00+00:00,696,7.90625,22.625,15.917969
2021-09-03 04:59:00+00:00,672,7.84375,22.75,14.941406
2021-09-03 05:28:00+00:00,668,7.78125,22.625,13.964844
2021-09-03 05:58:00+00:00,668,7.78125,22.625,16.992188
2021-09-03 06:27:00+00:00,668,7.75,22.5,16.992188
2021-09-03 06:56:00+00:00,672,7.71875,22.5,16.992188
2021-09-03 07:25:00+00:00,680,7.625,22.375,16.992188
2021-09-03 07:55:00+00:00,704,7.53125,22.375,15.917969
2021-09-03 08:24:00+00:00,716,7.53125,22.25,17.96875
2021-09-03 08:53:00+00:00,708,7.46875,22.25,16.992188
2021-09-03 09:22:00+00:00,704,7.40625,22.125,17.96875
2021-09-03 09:52:00+00:00,688,7.3125,22,16.992188
2021-09-03 10:21:00+00:00,692,7.28125,21.875,18.945312
2021-09-03 10:50:00+00:00,688,7.25,21.875,17.96875
2021-09-03 11:19:00+00:00,688,7.21875,21.75,17.96875
2021-09-03 11:49:00+00:00,692,7.21875,21.625,17.96875
2021-09-03 12:18:00+00:00,684,7.21875,21.625,16.992188
2021-09-03 12:47:00+00:00,688,7.21875,21.5,16.992188
2021-09-03 13:16:00+00:00,692,7.28125,21.5,15.917969
2021-09-03 13:46:00+00:00,700,7.34375,21.5,15.917969
2021-09-03 14:15:00+00:00,708,7.40625,21.5,15.917969
2021-09-03 14:44:00+00:00,696,7.5,21.5,15.917969
2021-09-03 15:13:00+00:00,692,7.6875,21.625,15.917969
2021-09-03 15:15:00+00:00,692,7.6875,21.625,15.917969
2021-09-03 15:43:00+00:00,692,7.78125,21.75,15.917969
2021-09-03 16:12:00+00:00,688,7.90625,21.75,16.992188
2021-09-03 16:41:00+00:00,684,7.9375,21.75,15.917969
2021-09-03 17:10:00+00:00,684,8.0625,21.75,16.992188
2021-09-03 17:40:00+00:00,676,8.125,21.875,16.992188
2021-09-03 18:09:00+00:00,692,8.25,21.875,16.992188
2021-09-03 18:38:00+00:00,684,8.25,21.875,15.917969
2021-09-03 19:07:00+00:00,692,8.3125,21.875,15.917969
2021-09-03 19:37:00+00:00,680,8.4375,22,15.917969
2021-09-03 20:06:00+00:00,684,8.5625,22,15.917969
2021-09-03 20:35:00+00:00,676,8.625,22,15.917969
2021-09-03 21:04:00+00:00,700,8.6875,22,15.917969
2021-09-03 21:34:00+00:00,700,8.6875,22,14.941406
2021-09-03 22:03:00+00:00,696,8.625,22,14.941406
2021-09-03 22:32:00+00:00,696,8.5625,22,14.941406
2021-09-03 23:01:00+00:00,696,8.5625,22,14.941406
2021-09-03 23:31:00+00:00,716,8.5,22,14.941406
2021-09-04 00:00:00+00:00,724,8.5,21.875,14.941406
2021-09-04 00:29:00+00:00,692,8.375,21.875,13.964844
2021-09-04 00:58:00+00:00,692,8.3125,21.875,12.988281
2021-09-04 01:28:00+00:00,676,8.25,21.875,12.988281
2021-09-04 01:57:00+00:00,676,8.1875,21.875,13.964844
2021-09-04 02:26:00+00:00,676,8.0625,21.875,14.941406
2021-09-04 02:55:00+00:00,680,8,21.75,14.941406
2021-09-04 03:25:00+00:00,676,7.96875,21.75,15.917969
2021-09-04 03:54:00+00:00,696,7.9375,21.75,15.917969
2021-09-04 04:23:00+00:00,688,7.84375,21.75,15.917969
2021-09-04 04:52:00+00:00,688,7.8125,21.75,14.941406
2021-09-04 05:22:00+00:00,692,7.71875,21.75,15.917969
2021-09-04 05:51:00+00:00,692,7.6875,21.75,16.992188
2021-09-04 06:20:00+00:00,688,7.65625,21.75,16.992188
2021-09-04 06:49:00+00:00,684,7.59375,21.75,16.992188
2021-09-04 07:19:00+00:00,688,7.53125,21.75,17.96875
2021-09-04 07:20:00+00:00,688,7.53125,21.75,17.96875
2021-09-04 07:48:00+00:00,676,7.5,21.625,16.992188
2021-09-04 08:17:00+00:00,668,7.46875,21.625,16.992188
2021-09-04 08:46:00+00:00,680,7.375,21.625,16.992188
2021-09-04 09:16:00+00:00,672,7.375,21.5,17.96875
2021-09-04 09:45:00+00:00,672,7.3125,21.5,17.96875
2021-09-04 10:14:00+00:00,672,7.25,21.5,17.96875
2021-09-04 10:43:00+00:00,672,7.25,21.5,18.945312
2021-09-04 11:13:00+00:00,688,7.1875,21.375,18.945312
2021-09-04 11:42:00+00:00,672,7.1875,21.375,17.96875
2021-09-04 12:11:00+00:00,676,7.125,21.375,17.96875
2021-09-04 12:40:00+00:00,672,7.125,21.25,17.96875
2021-09-04 13:10:00+00:00,656,7.1875,21.25,17.96875
2021-09-04 13:39:00+00:00,660,7.21875,21.25,16.992188
2021-09-04 14:08:00+00:00,668,7.25,21.25,16.992188
2021-09-04 14:37:00+00:00,668,7.34375,21.375,16.992188
2021-09-04 15:07:00+00:00,684,7.375,21.25,16.992188
2021-09-04 15:36:00+00:00,688,7.375,21.25,16.992188
2021-09-04 16:05:00+00:00,680,7.40625,21.375,16.992188
2021-09-04 16:34:00+00:00,708,7.5,21.375,15.917969
2021-09-04 17:04:00+00:00,716,7.53125,21.375,16.992188
2021-09-04 17:33:00+00:00,708,7.625,21.375,15.917969
2021-09-04 18:02:00+00:00,704,7.65625,21.375,15.917969
2021-09-04 18:31:00+00:00,712,7.65625,21.375,15.917969
2021-09-04 19:01:00+00:00,696,7.65625,21.375,14.941406
2021-09-04 19:30:00+00:00,696,7.65625,21.375,14.941406
2021-09-04 19:59:00+00:00,684,7.625,21.375,14.941406
2021-09-04 20:01:00+00:00,684,7.65625,21.375,14.941406
2021-09-04 20:28:00+00:00,684,7.65625,21.375,14.941406
2021-09-04 20:30:00+00:00,684,7.6875,21.375,14.941406
2021-09-04 20:58:00+00:00,684,7.6875,21.375,15.917969
2021-09-04 21:27:00+00:00,684,7.6875,21.375,16.992188
2021-09-04 21:56:00+00:00,676,7.65625,21.375,15.917969
2021-09-04 22:25:00+00:00,676,7.625,21.5,16.992188
2021-09-04 22:55:00+00:00,676,7.625,21.5,16.992188
2021-09-04 23:24:00+00:00,676,7.5625,21.5,14.941406
2021-09-04 23:53:00+00:00,664,7.5,21.5,16.992188
2021-09-05 00:22:00+00:00,660,7.5,21.5,16.992188
2021-09-05 00:52:00+00:00,660,7.46875,21.5,15.917969
2021-09-05 01:21:00+00:00,664,7.40625,21.375,15.917969
2021-09-05 01:50:00+00:00,684,7.4375,21.375,16.992188
2021-09-05 02:19:00+00:00,700,7.40625,21.375,15.917969
2021-09-05 02:49:00+00:00,696,7.375,21.375,15.917969
2021-09-05 03:18:00+00:00,688,7.34375,21.375,16.992188
2021-09-05 03:47:00+00:00,676,7.28125,21.375,16.992188
2021-09-05 04:16:00+00:00,684,7.3125,21.375,16.992188
2021-09-05 04:46:00+00:00,696,7.25,21.375,17.96875
2021-09-05 05:15:00+00:00,684,7.21875,21.25,17.96875
2021-09-05 05:44:00+00:00,668,7.21875,21.25,18.945312
2021-09-05 05:46:00+00:00,672,7.1875,21.25,17.96875
2021-09-05 06:13:00+00:00,676,7.21875,21.25,32.8125
2021-09-05 06:43:00+00:00,676,7.1875,21.125,18.945312
2021-09-05 07:12:00+00:00,708,7.125,21.125,18.945312
2021-09-05 07:41:00+00:00,704,7.09375,21,18.945312
2021-09-05 08:10:00+00:00,704,7.125,21,19.921875
2021-09-05 08:40:00+00:00,704,7.09375,21,18.945312
2021-09-05 09:09:00+00:00,700,7.0625,20.875,19.921875
2021-09-05 09:38:00+00:00,696,7.0625,20.875,18.945312
2021-09-05 10:07:00+00:00,692,7.03125,20.75,18.945312
2021-09-05 10:37:00+00:00,688,7,20.75,18.945312
2021-09-05 11:06:00+00:00,704,7,20.625,20.996094
2021-09-05 11:35:00+00:00,692,7,20.625,19.921875
2021-09-05 12:04:00+00:00,692,7,20.5,18.945312
2021-09-05 12:34:00+00:00,688,7,20.5,18.945312
2021-09-05 13:03:00+00:00,696,7,20.5,18.945312
2021-09-05 13:32:00+00:00,704,7.0625,20.5,17.96875
2021-09-05 14:01:00+00:00,688,7.09375,20.625,17.96875
2021-09-05 14:31:00+00:00,660,7.25,20.625,18.945312
2021-09-05 15:00:00+00:00,680,7.21875,20.75,16.992188
2021-09-05 15:29:00+00:00,680,7.3125,20.875,16.992188
2021-09-05 15:58:00+00:00,676,7.34375,21,16.992188
2021-09-05 16:28:00+00:00,676,7.5,21.125,50.78125
2021-09-05 16:57:00+00:00,672,7.5625,21.375,15.917969
2021-09-05 17:26:00+00:00,672,7.65625,21.5,16.992188
2021-09-05 17:55:00+00:00,664,7.6875,21.625,16.992188
2021-09-05 18:25:00+00:00,668,7.75,21.875,16.992188
2021-09-05 18:54:00+00:00,668,7.84375,22,16.992188
2021-09-05 19:23:00+00:00,684,7.90625,22.25,16.992188
2021-09-05 19:52:00+00:00,696,7.9375,22.375,16.992188
2021-09-05 20:22:00+00:00,696,8,22.5,15.917969
2021-09-05 20:51:00+00:00,684,8.0625,22.625,15.917969
2021-09-05 21:20:00+00:00,684,8,22.625,16.992188
2021-09-05 21:22:00+00:00,684,8.0625,22.625,14.941406
2021-09-05 21:49:00+00:00,680,8.0625,22.625,13.964844
2021-09-05 22:19:00+00:00,668,8,22.5,14.941406
2021-09-05 22:48:00+00:00,672,8,22.375,13.964844
2021-09-05 23:17:00+00:00,676,7.9375,22.25,13.964844
2021-09-05 23:46:00+00:00,676,7.875,22,13.964844
2021-09-06 00:16:00+00:00,672,7.90625,21.875,13.964844
2021-09-06 00:45:00+00:00,656,7.84375,21.75,13.964844
2021-09-06 01:14:00+00:00,656,7.75,21.625,14.941406
2021-09-06 01:43:00+00:00,648,7.75,21.5,13.964844
2021-09-06 02:13:00+00:00,644,7.65625,21.375,13.964844
2021-09-06 02:42:00+00:00,640,7.625,21.25,13.964844
2021-09-06 03:11:00+00:00,652,7.75,21.25,14.941406
2021-09-06 03:40:00+00:00,648,7.59375,21.125,16.992188
2021-09-06 04:10:00+00:00,652,7.53125,21.125,15.917969
2021-09-06 04:39:00+00:00,656,7.5,21.125,17.96875
2021-09-06 05:08:00+00:00,652,7.53125,21,16.992188
2021-09-06 05:37:00+00:00,648,7.46875,21,16.992188
2021-09-06 06:07:00+00:00,644,7.46875,21,16.992188
2021-09-06 06:36:00+00:00,644,7.40625,21.125,16.992188
2021-09-06 07:05:00+00:00,644,7.375,21.125,15.917969
2021-09-06 07:34:00+00:00,632,7.3125,21.125,16.992188
2021-09-06 08:04:00+00:00,632,7.34375,21,17.96875
2021-09-06 08:33:00+00:00,632,7.28125,21,17.96875
2021-09-06 09:02:00+00:00,644,7.28125,21,17.96875
2021-09-06 09:31:00+00:00,644,7.21875,21,17.96875
2021-09-06 10:01:00+00:00,644,7.1875,20.875,18.945312
2021-09-06 10:30:00+00:00,640,7.15625,20.875,18.945312
2021-09-06 10:59:00+00:00,652,7.125,20.75,18.945312
2021-09-06 11:28:00+00:00,648,7.125,20.625,17.96875
2021-09-06 11:58:00+00:00,648,7.09375,20.625,18.945312
2021-09-06 12:27:00+00:00,652,7.0625,20.625,17.96875
2021-09-06 12:28:00+00:00,652,7.0625,20.625,17.96875
2021-09-06 12:56:00+00:00,648,7.0625,20.5,17.96875
2021-09-06 13:25:00+00:00,648,7.0625,20.625,16.992188
2021-09-06 13:55:00+00:00,656,7.09375,20.625,17.96875
2021-09-06 14:24:00+00:00,644,7.15625,20.75,16.992188
2021-09-06 14:53:00+00:00,652,7.1875,20.875,15.917969
2021-09-06 15:22:00+00:00,652,7.28125,20.875,16.992188
2021-09-06 15:52:00+00:00,660,7.8125,21,17.96875
2021-09-06 16:21:00+00:00,684,7.5,21.25,15.917969
2021-09-06 16:50:00+00:00,696,7.59375,21.375,17.96875
2021-09-06 17:19:00+00:00,684,7.6875,21.625,15.917969
2021-09-06 17:49:00+00:00,668,7.75,21.75,15.917969
2021-09-06 18:18:00+00:00,672,7.84375,22,15.917969
2021-09-06 18:47:00+00:00,668,7.90625,22.125,15.917969
2021-09-06 19:16:00+00:00,664,8,22.25,15.917969
2021-09-06 19:46:00+00:00,656,8.0625,22.5,15.917969
2021-09-06 20:15:00+00:00,648,8.0625,22.625,16.992188
2021-09-06 20:44:00+00:00,648,8.125,22.75,14.941406
2021-09-06 21:13:00+00:00,660,8.125,22.75,14.941406
2021-09-06 21:43:00+00:00,672,8.125,22.75,15.917969
2021-09-06 22:12:00+00:00,664,8.0625,22.75,15.917969
2021-09-06 22:41:00+00:00,648,8.0625,22.625,14.941406
2021-09-06 23:10:00+00:00,648,8,22.5,13.964844
2021-09-06 23:40:00+00:00,652,7.96875,22.375,13.964844
2021-09-07 00:09:00+00:00,656,7.875,22.25,13.964844
2021-09-07 00:38:00+00:00,652,7.78125,22.125,13.964844
2021-09-07 01:07:00+00:00,644,7.71875,22,14.941406
2021-09-07 01:37:00+00:00,644,7.625,21.875,15.917969
2021-09-07 02:06:00+00:00,644,7.53125,21.875,14.941406
2021-09-07 02:35:00+00:00,644,7.53125,21.75,15.917969
2021-09-07 03:04:00+00:00,656,7.46875,21.75,15.917969
2021-09-07 03:34:00+00:00,660,7.40625,21.75,17.96875
2021-09-07 03:35:00+00:00,660,7.40625,21.75,18.945312
2021-09-07 04:03:00+00:00,664,7.375,21.75,15.917969
2021-09-07 04:32:00+00:00,668,7.34375,21.75,16.992188
2021-09-07 05:01:00+00:00,656,7.3125,21.75,16.992188
2021-09-07 05:31:00+00:00,648,7.34375,21.75,16.992188
2021-09-07 06:00:00+00:00,652,7.28125,21.875,17.96875
2021-09-07 06:29:00+00:00,648,7.25,21.875,17.96875
2021-09-07 06:58:00+00:00,648,7.1875,21.875,17.96875
2021-09-07 07:28:00+00:00,644,7.1875,21.875,17.96875
2021-09-07 07:57:00+00:00,676,7.15625,21.875,17.96875
2021-09-07 08:26:00+00:00,684,7.09375,21.875,17.96875
2021-09-07 08:55:00+00:00,672,7.0625,21.875,17.96875
2021-09-07 09:25:00+00:00,684,7.03125,21.75,17.96875
2021-09-07 09:54:00+00:00,728,7,21.75,18.945312
2021-09-07 10:23:00+00:00,720,6.96875,21.75,19.921875
2021-09-07 10:52:00+00:00,720,6.90625,21.625,18.945312
2021-09-07 11:22:00+00:00,716,6.90625,21.5,19.921875
2021-09-07 11:51:00+00:00,712,6.875,21.5,19.921875
2021-09-07 12:20:00+00:00,724,6.84375,21.5,18.945312
2021-09-07 12:49:00+00:00,712,6.8125,21.5,18.945312
2021-09-07 13:19:00+00:00,716,6.8125,21.5,18.945312
2021-09-07 13:48:00+00:00,712,6.875,21.5,17.96875
2021-09-07 14:17:00+00:00,708,6.9375,21.5,16.992188
2021-09-07 14:46:00+00:00,708,6.96875,21.625,16.992188
2021-09-07 15:16:00+00:00,708,7,21.75,17.96875
2021-09-07 15:45:00+00:00,708,7.09375,21.875,18.945312
2021-09-07 16:14:00+00:00,716,7.1875,22,16.992188
2021-09-07 16:43:00+00:00,716,7.34375,22.125,16.992188
2021-09-07 17:13:00+00:00,716,7.21875,22.25,16.992188
2021-09-07 17:42:00+00:00,716,8.125,22.25,11.962891
